"YearStart","YearEnd","Race/Ethnicity","Sample_Size"
"2019","2019","White, non-Latinx","269.0"
"2019","2019","Latinx","598.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx","97.0"
"2019","2019","Latinx","2639.0"
"2019","2019","Other, non-Latinx","60.0"
"2019","2019","White, non-Latinx","10491.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","66.0"
"2019","2019","Black, non-Latinx","1339.0"
"2019","2019","Latinx","129.0"
"2019","2019","Other, non-Latinx","77.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","4847.0"
"2019","2019","Other, non-Latinx","259.0"
"2019","2019","Other, non-Latinx","62.0"
"2019","2019","White, non-Latinx","4242.0"
"2019","2019","White, non-Latinx","4290.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","397.0"
"2019","2019","Asian, non-Latinx","63.0"
"2019","2019","Latinx","364.0"
"2019","2019","Black, non-Latinx","1023.0"
"2019","2019","Latinx","882.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Asian, non-Latinx","71.0"
"2019","2019","Other, non-Latinx","2627.0"
"2019","2019","Black, non-Latinx","406.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","270.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","57.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","White, non-Latinx","3863.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","206.0"
"2019","2019","Other, non-Latinx","164.0"
"2019","2019","White, non-Latinx","9312.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","4549.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx",""
"2019","2019","Black, non-Latinx","574.0"
"2019","2019","White, non-Latinx","4534.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","398.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","7313.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","110.0"
"2019","2019","Other, non-Latinx","60.0"
"2019","2019","Other, non-Latinx","108.0"
"2019","2019","White, non-Latinx","6337.0"
"2019","2019","Black, non-Latinx","212.0"
"2019","2019","Other, non-Latinx","64.0"
"2019","2019","Black, non-Latinx","521.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","617.0"
"2019","2019","Other, non-Latinx","71.0"
"2019","2019","Latinx","1183.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","150.0"
"2019","2019","White, non-Latinx","12621.0"
"2019","2019","Other, non-Latinx","102.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","134.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","504.0"
"2019","2019","Latinx","5561.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","680.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","White, non-Latinx","6333.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","245.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","2088.0"
"2019","2019","Latinx","26800.0"
"2019","2019","Latinx","134.0"
"2019","2019","Other, non-Latinx","201.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","186.0"
"2019","2019","Other, non-Latinx","139.0"
"2019","2019","Other, non-Latinx","168.0"
"2019","2019","Latinx","333.0"
"2019","2019","Other, non-Latinx","119.0"
"2019","2019","Black, non-Latinx","755.0"
"2019","2019","Asian, non-Latinx","61.0"
"2019","2019","Black, non-Latinx","632.0"
"2019","2019","Other, non-Latinx","109.0"
"2019","2019","Black, non-Latinx","425.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","616.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","53.0"
"2019","2019","White, non-Latinx","5047.0"
"2019","2019","White, non-Latinx","4316.0"
"2019","2019","Other, non-Latinx","65.0"
"2019","2019","White, non-Latinx","4517.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","349.0"
"2019","2019","Asian, non-Latinx","7419.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","298.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","786.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","172.0"
"2019","2019","Latinx","5583.0"
"2019","2019","Other, non-Latinx","111.0"
"2019","2019","Other, non-Latinx","765.0"
"2019","2019","White, non-Latinx","882.0"
"2019","2019","Black, non-Latinx","1020.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","62.0"
"2019","2019","Latinx",""
"2019","2019","Other, non-Latinx","51.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","84.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","147.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","1252.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","733.0"
"2019","2019","Black, non-Latinx","87.0"
"2019","2019","White, non-Latinx","1989.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","1304.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx","136.0"
